V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,variable,scales,labels,min,max,rev,na,wn,ka,scalenumber,nown,noka,q_text,q_cate
sehr gross,gross,mittelmaessig,klein,sehr klein,keine Angabe,NA,NA,NA,NA,NA,NA,NA,ges_per_gefahr,5,Gesundheitliche Gefahr: Fuer mich persoenlich,1,5,1,7,nown,V6,4,no WN option,no KA option,"Wie groß schätzen Sie die gesundheitliche Gefahr ein, welche von dem Coronavirus für Sie persönlich ausgeht?",Gefahrenwahrnehmung
sehr gross,gross,mittelmaessig,klein,sehr klein,keine Angabe,NA,NA,NA,NA,NA,NA,NA,ges_pub_gefahr,5,Gesundheitliche Gefahr: Fuer die oesterreichische Bevoelkerung,1,5,1,7,nown,V6,4,no WN option,no KA option,"Wie groß schätzen Sie die gesundheitliche Gefahr ein, welche von dem Coronavirus für die österreichische Bevölkerung ausgeht?",Gefahrenwahrnehmung
sehr gross,gross,mittelmaessig,klein,sehr klein,keine Angabe,NA,NA,NA,NA,NA,NA,NA,wir_per_gefahr,5,Wirtschaftliche Gefahr: Fuer mich persoenlich,1,5,1,7,nown,V6,4,no WN option,no KA option,"Wie groß schätzen Sie die wirtschaftliche Gefahr ein, welche von dem Coronavirus für die österreichische Bevölkerung ausgeht?",Gefahrenwahrnehmung
sehr gross,gross,mittelmaessig,klein,sehr klein,keine Angabe,NA,NA,NA,NA,NA,NA,NA,wir_pub_gefahr,5,Wirtschaftliche Gefahr: Fuer die oesterreichische Bevoelkerung,1,5,1,7,nown,V6,4,no WN option,no KA option,"Wie groß schätzen Sie die wirtschaftliche Gefahr ein, welche von dem Coronavirus für die österreichische Bevölkerung ausgeht?",Gefahrenwahrnehmung
Trifft voll und ganz zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft gar nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,wochentag,10,Auswirkungen: Vergesse Wochentag,1,5,1,6,V6,V7,4,no WN option,no KA option,"Wie stark trifft folgende Aussage auf Ihre Erfahrungen in der letzten Woche zu?	Ich vergesse manchmal, welcher Wochentag ist.",Auswirkungen
Trifft voll und ganz zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft gar nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,kontakt,10,Auswirkungen: Fehlt Kontakt,1,5,1,6,V6,V7,4,no WN option,no KA option,Wie stark trifft folgende Aussage auf Ihre Erfahrungen in der letzten Woche zu? Mir fehlt der Kontakt zu anderen Menschen.,Auswirkungen
Trifft voll und ganz zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft gar nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,zeit,10,"Auswirkungen: Dinge tun, fuer die sonst keine Zeit",1,5,1,6,V6,V7,4,no WN option,no KA option,"Wie stark trifft folgende Aussage auf Ihre Erfahrungen in der letzten Woche zu? Ich kann Dinge tun, für die ich sonst keine Zeit habe.",Auswirkungen
Trifft voll und ganz zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft gar nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,konflikt,10,Auswirkungen: Konflikte in Beziehung/Familie,1,5,1,6,V6,V7,4,no WN option,no KA option,Wie stark trifft folgende Aussage auf Ihre Erfahrungen in der letzten Woche zu? Ich habe mehr Konflikte in meiner Beziehung / Familie. ,Auswirkungen
Trifft voll und ganz zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft gar nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,kinder,10,Aussage: Kinderbetreuung stellt Problem dar,1,5,1,6,V6,V7,4,no WN option,no KA option,Wie stark trifft folgende Aussage auf Ihre Erfahrungen in der letzten Woche zu? Die Kinderbetreuung stellt ein Problem für mich dar.,Auswirkungen
nie,an manchen Tagen,mehrmals die Woche,beinahe jeden Tag,taeglich,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,depress_A1,14,Depressivitaet: ruhig und gelassen,1,5,0,6,V6,V7,4,no WN option,no KA option,Wie oft waren Sie in der letzten Woche ruhig und gelassen?,Emotionen
nie,an manchen Tagen,mehrmals die Woche,beinahe jeden Tag,taeglich,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,depress_A2,14,Depressivitaet: einsam,1,5,0,6,V6,V7,4,no WN option,no KA option,Wie oft waren Sie in der letzten Woche einsam?,Emotionen
nie,an manchen Tagen,mehrmals die Woche,beinahe jeden Tag,taeglich,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,depress_A3,14,Depressivitaet: aergerlich,1,5,0,6,V6,V7,4,no WN option,no KA option,Wie oft waren Sie in der letzten Woche ärgerlich?,Emotionen
nie,an manchen Tagen,mehrmals die Woche,beinahe jeden Tag,taeglich,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,depress_A4,14,Depressivitaet: so niedergeschlagen,1,5,0,6,V6,V7,4,no WN option,no KA option,"Wie oft waren Sie in der letzten Woche so niedergeschlagen, dass Sie nichts aufheitern konnte?",Emotionen
nie,an manchen Tagen,mehrmals die Woche,beinahe jeden Tag,taeglich,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,depress_A5,14,Depressivitaet: gluecklich,1,5,0,6,V6,V7,4,no WN option,no KA option,Wie oft waren Sie in der letzten Woche glücklich?,Emotionen
nie,an manchen Tagen,mehrmals die Woche,beinahe jeden Tag,taeglich,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,depress_A6,14,Depressivitaet: sehr nervoes,1,5,0,6,V6,V7,4,no WN option,no KA option,Wie oft waren Sie in der letzten Woche nervös?,Emotionen
nie,an manchen Tagen,mehrmals die Woche,beinahe jeden Tag,taeglich,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,depress_A7,14,Depressivitaet: aengstlich,1,5,0,6,V6,V7,4,no WN option,no KA option,Wie oft waren Sie in der letzten Woche ängstlich?,Emotionen
nie,an manchen Tagen,mehrmals die Woche,beinahe jeden Tag,taeglich,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,depress_A8,14,Depressivitaet: bedrueckt und traurig,1,5,0,6,V6,V7,4,no WN option,no KA option,Wie oft waren Sie in der letzten Woche bedrückt und traurig?,Emotionen
nie,an manchen Tagen,mehrmals die Woche,beinahe jeden Tag,taeglich,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,depress_A9,14,Depressivitaet: voller Energie,1,5,0,6,V6,V7,4,no WN option,no KA option,Wie oft waren Sie in der letzten Woche voller Energie?,Emotionen
Trifft voll und ganz zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft gar nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,zusammenhalt,10,Chance: Zusammenhalt hat sich erhoeht,1,5,1,6,V6,V7,4,no WN option,no KA option,Wie sehr trifft die folgende Aussage aus Ihrer Sicht zu? Der Zusammenhalt in der Gesellschaft hat sich in der letzten Woche erhöht.,Chancenwahrnehmung
Trifft voll und ganz zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft gar nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,umweundklima,10,Chance: Gut fuer Umwelt und Klima,1,5,1,6,V6,V7,4,no WN option,no KA option,Wie sehr trifft die folgende Aussage aus Ihrer Sicht zu? ie Corona-Krise birgt auch Chancen - z.B. für Umwelt und Klima.,Chancenwahrnehmung
Trifft voll und ganz zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft gar nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,onlinekommun,10,Chance: Umstellung auf Online-Kommunikation,1,5,1,6,V6,V7,4,no WN option,no KA option,Wie sehr trifft die folgende Aussage aus Ihrer Sicht zu? Die rasche Umstellung auf Online-Kommunikation bringt die Wirtschaft voran.,Chancenwahrnehmung
Sehr zufrieden,Eher zufrieden,Teils-teils,Eher unzufrieden,Sehr unzufrieden,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,demokratie,7,Demokratiezufriedenheit: Oesterreich,1,5,1,6,V6,V7,4,no WN option,no KA option,"Wie zufrieden oder unzufrieden sind Sie alles in allem mit der Demokratie, so wie sie derzeit in Österreich funktioniert? Sind Sie sehr zufrieden, eher zufrieden, teils-teils, eher unzufrieden oder sehr unzufrieden?",Zufriedenheit
aeusserst unzufrieden,1,2,3,4,5,6,7,8,9,aeusserst zufrieden,Weiss nicht,NA,lebensz,1,Lebenszufriedenheit,1,11,0,1,V12,noka,10,no WN option,no KA option,"Alles in allem betrachtet, wie zufrieden sind Sie derzeit mit Ihrem Leben? Bitte antworten Sie auf einer Skala von 0=äußerst unzufrieden bis 10-=äußerst zufrieden.",Zufriedenheit
Trifft voll und ganz zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft gar nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,zus_bestes,10,Gemeinschaftsgefuehl: Geben alle unser Bestes,1,5,1,6,V6,V7,4,no WN option,no KA option,"Ganz allgemein, wie sehr trifft die folgende Aussage auf die Stimmung in unserer Gesellschaft zu? Trifft sie voll und ganz zu, eher zu, teils-teils, eher nicht zu oder gar nicht zu? Wir geben alle unser Bestes, um die Krisensituation zu überwinden.",Zusammenhalt
Trifft voll und ganz zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft gar nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,zus_einig,10,"Gemeinschaftsgefuehl: Einig, dass Zusammenhalt wichtig",1,5,1,6,V6,V7,4,no WN option,no KA option,"Ganz allgemein, wie sehr trifft die folgende Aussage auf die Stimmung in unserer Gesellschaft zu? Trifft sie voll und ganz zu, eher zu, teils-teils, eher nicht zu oder gar nicht zu? Die meisten sind sich einig, dass Zusammenhalt in der aktuellen Krisensituation wichtig ist.",Zusammenhalt
Trifft voll und ganz zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft gar nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,zus_schutzen,10,"Gemeinschaftsgefuehl: Ruecken zusammen, um Schwache zu schuetzen",1,5,1,6,V6,V7,4,no WN option,no KA option,"Ganz allgemein, wie sehr trifft die folgende Aussage auf die Stimmung in unserer Gesellschaft zu? Trifft sie voll und ganz zu, eher zu, teils-teils, eher nicht zu oder gar nicht zu? Wir rücken in der aktuellen Situation zusammen, um die Schwachen zu schützen.",Zusammenhalt
Sehr zufrieden,Eher zufrieden,Teils-teils,Eher unzufrieden,Sehr unzufrieden,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,blianz_reg,7,Zufriedenheit Bundesregierung: Bilanz,1,5,1,6,V6,V7,4,no WN option,no KA option,"Sind Sie nach heutigem Stand mit der Bilanz, d.h. mit der Arbeit und Leistung, der aktuellen Bundesregierung (also der Koalition aus ÖVP und Grünen) sehr zufrieden, eher zufrieden, teils-teils, eher unzufrieden oder sehr unzufrieden?",Zufriedenheit
Sehr zufrieden,Eher zufrieden,Teils-teils,Eher unzufrieden,Sehr unzufrieden,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,zuf_reg_al,7,Zufriedenheit Bundesregierung: Bekaempfung der Arbeitslosigkeit,1,5,1,6,V6,V7,4,no WN option,no KA option,"Wie zufrieden oder unzufrieden sind Sie nach heutigem Stand mit der Arbeit der Bundesregierung in den folgenden Bereichen? Sind Sie sehr zufrieden, eher zufrieden, teils-teils, eher unzufrieden oder sehr unzufrieden? Bekämpfung der Arbeitslosigkeit. ",Zufriedenheit
Sehr zufrieden,Eher zufrieden,Teils-teils,Eher unzufrieden,Sehr unzufrieden,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,zuf_reg_un,7,Zufriedenheit Bundesregierung: Stuetzung der kleinen und mittleren Unternehmen,1,5,1,6,V6,V7,4,no WN option,no KA option,"Wie zufrieden oder unzufrieden sind Sie nach heutigem Stand mit der Arbeit der Bundesregierung in den folgenden Bereichen? Sind Sie sehr zufrieden, eher zufrieden, teils-teils, eher unzufrieden oder sehr unzufrieden? tützung der kleinen und mittleren Unternehmen",Zufriedenheit
Sehr zufrieden,Eher zufrieden,Teils-teils,Eher unzufrieden,Sehr unzufrieden,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,zuf_reg_wi,7,Zufriedenheit Bundesregierung: Stuetzung der Wirtschaft allgemein,1,5,1,6,V6,V7,4,no WN option,no KA option,"Wie zufrieden oder unzufrieden sind Sie nach heutigem Stand mit der Arbeit der Bundesregierung in den folgenden Bereichen? Sind Sie sehr zufrieden, eher zufrieden, teils-teils, eher unzufrieden oder sehr unzufrieden? Stützung der Wirtschaft allgemein.",Zufriedenheit
ueberhaupt nicht ausreichend,eher nicht ausreichend,angemessen,eher zu stark,zu extrem,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,mas_angemessen,11,Massnahmen der Regierung: Angemessenheit,1,5,1,6,V6,V7,4,no WN option,no KA option,"Halten Sie die Reaktion der österreichischen Regierung in Zusammenhang mit dem Coronavirus für nicht ausreichend, angemessen oder zu extrem? Überhaupt nicht ausreichend, eher nicht ausreichend, angemessen, eher zu stark oder zu extrem?",Coronamaßnahmen
ueberhaupt nicht effektiv,eher nicht effektiv,teils effektiv,eher effektiv,sehr effektiv,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,mas_effektiv,12,Massnahmen der Regierung: Effektivitaet,1,5,0,6,V6,V7,4,no WN option,no KA option,"Wie effektiv, denken Sie, sind die gesetzten Maßnahmen der österreichischen Regierung bis jetzt, um die Ausbreitung der Krankheit zu verlangsamen? Überhaupt nicht effektiv, eher nicht effektiv, teils effektiv, eher effektiv oder sehr effektiv?",Coronamaßnahmen
Ueberhaupt kein Vertrauen,1,2,3,4,5,6,7,8,9,Sehr viel Vertrauen,Weiss nicht,keine Angabe,ver_gov,2,Vertrauen: Bundesregierung,1,11,0,0,V12,V13,10,no WN option,no KA option,"Wenn Sie auf die folgende Liste sehen: Haben Sie sehr viel, ziemlich viel, wenig oder überhaupt kein Vertrauen in die jeweils genannten Institutionen im Rahmen der Coronakrise? Bitte antworten Sie auf einer Skala von 0=Überhaupt kein Vertrauen bis 10=sehr viel vertrauen: Die Bundesregierung",Vertrauen
Ueberhaupt kein Vertrauen,1,2,3,4,5,6,7,8,9,Sehr viel Vertrauen,Weiss nicht,keine Angabe,ver_ges,2,Vertrauen: Gesundheitswesen,1,11,0,0,V12,V13,10,no WN option,no KA option,"Wenn Sie auf die folgende Liste sehen: Haben Sie sehr viel, ziemlich viel, wenig oder überhaupt kein Vertrauen in die jeweils genannten Institutionen im Rahmen der Coronakrise? Bitte antworten Sie auf einer Skala von 0=Überhaupt kein Vertrauen bis 10=sehr viel vertrauen: Das Gesundheitswesen",Vertrauen
Ueberhaupt kein Vertrauen,1,2,3,4,5,6,7,8,9,Sehr viel Vertrauen,Weiss nicht,keine Angabe,ver_par,2,Vertrauen: Parlament,1,11,0,0,V12,V13,10,no WN option,no KA option,"Wenn Sie auf die folgende Liste sehen: Haben Sie sehr viel, ziemlich viel, wenig oder überhaupt kein Vertrauen in die jeweils genannten Institutionen im Rahmen der Coronakrise? Bitte antworten Sie auf einer Skala von 0=Überhaupt kein Vertrauen bis 10=sehr viel vertrauen: Das Parlament",Vertrauen
Ueberhaupt kein Vertrauen,1,2,3,4,5,6,7,8,9,Sehr viel Vertrauen,Weiss nicht,keine Angabe,ver_pol,2,Vertrauen: Polizei,1,11,0,0,V12,V13,10,no WN option,no KA option,"Wenn Sie auf die folgende Liste sehen: Haben Sie sehr viel, ziemlich viel, wenig oder überhaupt kein Vertrauen in die jeweils genannten Institutionen im Rahmen der Coronakrise? Bitte antworten Sie auf einer Skala von 0=Überhaupt kein Vertrauen bis 10=sehr viel vertrauen: Die Polizei",Vertrauen
Ueberhaupt kein Vertrauen,1,2,3,4,5,6,7,8,9,Sehr viel Vertrauen,Weiss nicht,keine Angabe,ver_orf,2,Vertrauen: ORF,1,11,0,0,V12,V13,10,no WN option,no KA option,"Wenn Sie auf die folgende Liste sehen: Haben Sie sehr viel, ziemlich viel, wenig oder überhaupt kein Vertrauen in die jeweils genannten Institutionen im Rahmen der Coronakrise? Bitte antworten Sie auf einer Skala von 0=Überhaupt kein Vertrauen bis 10=sehr viel vertrauen: Das öffentlich-rechtliche Fernsehen (ORF)",Vertrauen
Weniger als 1 Monat,1-2 Monate,3-4 Monate,5-6 Monate,Mehr als 6 Monate,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,dauer,17,Geschaetzte Dauer der Krise,1,5,0,6,V6,V7,4,no WN option,no KA option,"Und wie lang genau, schätzen Sie, dauert es, bis das Leben in Österreich wieder normal ist? 6 bis 12Monate, 1 bis 1.5 Jahre, 1.5 bis 2 Jahre, 2 bis 3 Jahre, 3 bis 5 Jahre oder mehr als 5 Jahre?",Coronamaßnahmen
sehr gut zurechtkommen,gut zurechtkommen,teils-teils,nur schwer zurechtkommen,nur sehr schwer zurechtkommen,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,fin_ausk_akt,15,Finanzielles Auskommen: Aktuell,1,5,1,6,V6,V7,4,no WN option,no KA option,"Wie beurteilen Sie die aktuelle finanzielle Situation Ihres Haushalts? Können Sie mit den Haushaltseinkünften sehr gut zurechtkommen, gut zurechtkommen, teils-teils, nur schwer zurechtkommen, nur sehr schwer zurechtkommen?",finanzielle Situation
Viel besser,Etwas besser,Gleich bleibend,Etwas schlechter,Viel schlechter,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,fin_ausk_yea,13,Finanzielles Auskommen: In 12 Monaten,1,5,1,6,V6,V7,4,no WN option,no KA option,"Wie wird die finanzielle Situation Ihres Haushalts in Zukunft (in 12 Monaten) im Vergleich zu Ihrer aktuellen Situation sein? Viel besser, etwas besser, gleich bleibend, etwas schlechter, viel schlechter?",finanzielle Situation
Viel besser,Etwas besser,Gleich bleibend,Etwas schlechter,Viel schlechter,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,eco_ausk_yea,13,Wirtschaftslage: In 12 Monaten,1,5,1,6,V6,V7,4,no WN option,no KA option,"Wie wird die allgemeine Wirtschaftslage in Österreich in Zukunft (in 12 Monaten) im Vergleich zu der aktuellen Situation sein? Viel besser, etwas besser, gleich bleibend, etwas schlechter, viel schlechter?",finanzielle Situation
trifft nicht zu (keine Familie/ Partner/in/ nicht berufstaetig),sehr zufrieden,eher zufrieden,weniger zufrieden,nicht zufrieden,NA,NA,NA,NA,NA,NA,NA,NA,zuf_fam,16,Zufriedenheit: Familienleben,1,5,0,8,nown,noka,4,no WN option,no KA option,"Wenn Sie an Ihre gegenwärtige Situation denken, wie zufrieden sind Sie alles in allem mit Ihrem Familienleben? Sehr zufrieden, eher zufrieden, weniger zufrieden, nicht zufrieden oder trifft die Frage nicht zu (keine Familie)?",Zufriedenheit
trifft nicht zu (keine Familie/ Partner/in/ nicht berufstaetig),sehr zufrieden,eher zufrieden,weniger zufrieden,nicht zufrieden,NA,NA,NA,NA,NA,NA,NA,NA,zuf_par,16,Zufriedenheit: Partnerschaft,1,5,0,8,nown,noka,4,no WN option,no KA option,"Wenn Sie an Ihre gegenwärtige Situation denken, wie zufrieden sind Sie alles in allem mit Ihrer Partnerschaft? Sehr zufrieden, eher zufrieden, weniger zufrieden, nicht zufrieden oder trifft die Frage nicht zu (keine Partner/in)?",Zufriedenheit
trifft nicht zu (keine Familie/ Partner/in/ nicht berufstaetig),sehr zufrieden,eher zufrieden,weniger zufrieden,nicht zufrieden,NA,NA,NA,NA,NA,NA,NA,NA,zuf_ber,16,Zufriedenheit: Beruf,1,5,0,8,nown,noka,4,no WN option,no KA option,"Wenn Sie an Ihre gegenwärtige Situation denken, wie zufrieden sind Sie alles in allem mit Ihrem Beruf? Sehr zufrieden, eher zufrieden, weniger zufrieden, nicht zufrieden oder trifft die Frage nicht zu (nicht berufstätig)?",Zufriedenheit
trifft nicht zu (keine Familie/ Partner/in/ nicht berufstaetig),sehr zufrieden,eher zufrieden,weniger zufrieden,nicht zufrieden,NA,NA,NA,NA,NA,NA,NA,NA,zuf_frz,16,Zufriedenheit: Freizeit,1,5,0,8,nown,noka,4,no WN option,no KA option,"Wenn Sie an Ihre gegenwärtige Situation denken, wie zufrieden sind Sie alles in allem mit Ihrer Freizeitgestaltung?? Sehr zufrieden, eher zufrieden, weniger zufrieden oder nicht zufrieden?",Zufriedenheit
Trifft voll und ganz zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft gar nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,skept_lebens,10,Aussage: Lebensweise aendern,1,5,1,6,V6,V7,4,no WN option,no KA option,"Bitte geben Sie an, ob die jeweilige Aussage Ihrer Meinung nach sehr zutrifft, eher zutrifft, teils-teils zutrifft, eher nicht zutrifft oder gar nicht zutrifft: Um die Corona-Krise einzudämmen, sind die meisten in meinem persönlichen Umfeld bereit, ihre Lebensweise zu ändern.",Einstellungen zur Coronakrise
Trifft voll und ganz zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft gar nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,skept_wichti,10,Aussage: Wichtigeres als Corona im Leben,1,5,1,6,V6,V7,4,no WN option,no KA option,"Bitte geben Sie an, ob die jeweilige Aussage Ihrer Meinung nach sehr zutrifft, eher zutrifft, teils-teils zutrifft, eher nicht zutrifft oder gar nicht zutrifft: Es gibt Wichtigeres im Leben als die Corona-Krise.",Einstellungen zur Coronakrise
Trifft voll und ganz zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft gar nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,skept_behaup,10,Aussage: Behauptungen ueber Corona uebertrieben,1,5,1,6,V6,V7,4,no WN option,no KA option,"Bitte geben Sie an, ob die jeweilige Aussage Ihrer Meinung nach sehr zutrifft, eher zutrifft, teils-teils zutrifft, eher nicht zutrifft oder gar nicht zutrifft: Viele Behauptungen bezüglich der Corona-Krise, die man von anderen so hört, sind übertrieben. ",Einstellungen zur Coronakrise
Trifft voll und ganz zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft gar nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,skept_andere,10,Aussage: Solange andere Verhalten nicht aendern keine Verhaltensaenderung,1,5,1,6,V6,V7,4,no WN option,no KA option,"Bitte geben Sie an, ob die jeweilige Aussage Ihrer Meinung nach sehr zutrifft, eher zutrifft, teils-teils zutrifft, eher nicht zutrifft oder gar nicht zutrifft: olange andere ihr Verhalten nicht ändern, muss ich mein Verhalten bezüglich der Corona-Krise auch nicht ändern.",Einstellungen zur Coronakrise
Trifft voll und ganz zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft gar nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,skept_fehler,10,Aussage: Massnahmen zur Eindaemmung des Coronavirus waren Fehler,1,5,1,6,V6,V7,4,no WN option,no KA option,"Bitte geben Sie an, ob die jeweilige Aussage Ihrer Meinung nach sehr zutrifft, eher zutrifft, teils-teils zutrifft, eher nicht zutrifft oder gar nicht zutrifft: s war ein Fehler, all diese Maßnahmen zur Eindämmung des Coronavirus zu erlassen.",Einstellungen zur Coronakrise
Trifft voll und ganz zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft gar nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,skept_uebert,10,Aussage: Regierung uebertreibt hinsichtlich gesundheitlicher Gefahr,1,5,1,6,V6,V7,4,no WN option,no KA option,"Bitte geben Sie an, ob die jeweilige Aussage Ihrer Meinung nach sehr zutrifft, eher zutrifft, teils-teils zutrifft, eher nicht zutrifft oder gar nicht zutrifft: Was die Regierung über die gesundheitliche Gefahr des Coronavirus sagt, ist übertrieben.",Einstellungen zur Coronakrise
Trifft voll und ganz zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft gar nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,skept_grippe,10,Aussage: Das Coronavirus ist gefaehrlicher als eine normale Grippe.,1,5,1,6,V6,V7,4,no WN option,no KA option,"Bitte geben Sie an, ob die jeweilige Aussage Ihrer Meinung nach sehr zutrifft, eher zutrifft, teils-teils zutrifft, eher nicht zutrifft oder gar nicht zutrifft: Das Coronavirus ist gefährlicher als eine normale Grippe.",Einstellungen zur Coronakrise
Trifft voll und ganz zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft gar nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,skept_gerech,10,Aussage: Alles in allem empfinde ich die Corona-Massnahmen als gerecht.,1,5,1,6,V6,V7,4,no WN option,no KA option,"Bitte geben Sie an, ob die jeweilige Aussage Ihrer Meinung nach sehr zutrifft, eher zutrifft, teils-teils zutrifft, eher nicht zutrifft oder gar nicht zutrifft: Alles in allem empfinde ich die Corona-Maßnahmen als gerecht.",Einstellungen zur Coronakrise
