labels,variable,min,max
Gesundheitliche Gefahr: Fuer mich persoenlich,ges_per_gefahr,1,5
Gesundheitliche Gefahr: Fuer die oesterreichische Bevoelkerung,ges_pub_gefahr,1,5
Wirtschaftliche Gefahr: Fuer mich persoenlich,wir_per_gefahr,1,5
Wirtschaftliche Gefahr: Fuer die oesterreichische Bevoelkerung,wir_pub_gefahr,1,5
Wohlfuehlen: Wohnsituation,wohnsit,0,10
Corona-Ampel: Ich bin gut informiert,ampel_inf,1,5
"Corona-Ampel: Ich weiss, was zu tun ist",ampel_tun,1,5
Corona-Ampel: Ich richte mein Verhalten an der Ampel aus,ampel_ovr,1,5
Corona-Ampel: Andere richten ihr Verhalten an der Ampel aus,ampel_avr,1,5
Anzahl Kontakpersonen: Letzte Woche,anz_kont_lw,1,7
Anzahl Kontaktpersonen: In der Weihnachtswoche,anz_kont_ww,1,7
Anzahl Kontakpersonen: In der Woche zu Silvester / Neujahr,anz_kont_sw,1,7
Anzahl der Infizierten (amtlich),anz_infiz_amt,NA,NA
Anzahl der Infizierten (eigene Einschaetzung),anz_infiz_sub,NA,NA
Gesundheitszustand,subj_gesund,1,5
Corona-Diagnose: Respondent,cor_diag_pos,1,3
Corona positiv: Wieder genesen?,cor_diag_gen,1,2
Corona: Versucht getestet zu werden?,cor_diag_tes,1,6
Corona bisher nicht positiv: Wahrscheinlichkeit an Corona zu erkranken,cor_prop_per,NA,NA
Corona-Diagnose: Direkter persoenlicher Kontakt,cor_diag_con,1,3
Familie und Freunde: Wahrscheinlichkeit an Corona zu erkranken,cor_prop_fff,NA,NA
Familie und Freunde: Wahrscheinlichkeit an Corona zu erkranken (weitere Person),cor_prop_ffp,NA,NA
Auswirkungen: Vergesse Wochentag,wochentag,1,5
Auswirkungen: Fehlt Kontakt,kontakt,1,5
"Auswirkungen: Dinge tun, fuer die sonst keine Zeit",zeit,1,5
Auswirkungen: Konflikte in Beziehung/Familie,konflikt,1,5
Aussage: Kinderbetreuung stellt Problem dar,kinder,1,5
Depressivitaet: ruhig und gelassen,depress_A1,1,5
Depressivitaet: einsam,depress_A2,1,5
Depressivitaet: aergerlich,depress_A3,1,5
Depressivitaet: so niedergeschlagen,depress_A4,1,5
Depressivitaet: gluecklich,depress_A5,1,5
Depressivitaet: sehr nervoes,depress_A6,1,5
Depressivitaet: aengstlich,depress_A7,1,5
Depressivitaet: bedrueckt und traurig,depress_A8,1,5
Depressivitaet: voller Energie,depress_A9,1,5
Zuhause verlassen: Arbeit,ausgeh_arbeit,1,5
Zuhause verlassen: Sport,ausgeh_sport,1,5
Zuhause verlassen: Freunde oder Verwandte treffen,ausgeh_freunde,1,5
"Zuhause verlassen: Medikamente, medizinische Versorgung, Pflege, Hilfe",ausgeh_medikamente,1,5
Zuhause verlassen: Essen einkaufen,ausgeh_essen,1,5
Zuhause verlassen: Haustier ausfuehren,ausgeh_haustier,1,5
Zuhause verlassen: Langeweile im Haus/um Freiheit zu geniessen,ausgeh_langeweile,1,5
Zuhause verlassen: Sonstige Besorgungen,ausgeh_sonsbes,1,5
Zuhause verlassen: Andere Gruende,ausgeh_andere,1,5
Chance: Zusammenhalt hat sich erhoeht,zusammenhalt,1,5
Chance: Gut fuer Umwelt und Klima,umweundklima,1,5
Chance: Umstellung auf Online-Kommunikation,onlinekommun,1,5
Demokratiezufriedenheit: Oesterreich,demokratie,1,5
Lebenszufriedenheit,lebensz,0,10
Reaktion: Meinung fuer sich behalten,meinungmich,1,5
Reaktion: Ruhig ausdiskutieren,meinungdisk,1,5
Reaktion: Laut streiten,streiten,1,5
Reaktion: Handgreiflich werden,hand,1,5
Gemeinschaftsgefuehl: Geben alle unser Bestes,zus_bestes,1,5
"Gemeinschaftsgefuehl: Einig, dass Zusammenhalt wichtig",zus_einig,1,5
"Gemeinschaftsgefuehl: Ruecken zusammen, um Schwache zu schuetzen",zus_schutzen,1,5
Alkoholkonsum,alkohol,1,5
Rauchverhalten,tabak,1,5
Zufriedenheit Bundesregierung: Bilanz,blianz_reg,1,5
Zufriedenheit Bundesregierung: Bekaempfung der Arbeitslosigkeit,zuf_reg_al,1,5
Zufriedenheit Bundesregierung: Stuetzung der kleinen und mittleren Unternehmen,zuf_reg_un,1,5
Zufriedenheit Bundesregierung: Stuetzung der Wirtschaft allgemein,zuf_reg_wi,1,5
Massnahmen der Regierung: Angemessenheit,mas_angemessen,1,5
Massnahmen der Regierung: Effektivitaet,mas_effektiv,1,5
Aussage: Akzeptabel hoehere Steuern zu zahlen,skept_steuer,1,5
Aussage: Lebensweise aendern,skept_lebens,1,5
Aussage: Wichtigeres als Corona im Leben,skept_wichti,1,5
Aussage: Behauptungen ueber Corona uebertrieben,skept_behaup,1,5
Aussage: Solange andere Verhalten nicht aendern keine Verhaltensaenderung,skept_andere,1,5
Aussage: Massnahmen zur Eindaemmung des Coronavirus waren Fehler,skept_fehler,1,5
Aussage: Regierung uebertreibt hinsichtlich gesundheitlicher Gefahr,skept_uebert,1,5
Aussage: Das Coronavirus ist gefaehrlicher als eine normale Grippe,skept_grippe,1,5
Aussage: Alles in allem empfinde ich die Corona-Massnahmen als gerecht,skept_gerech,1,5
"Aussage: Die meisten in meinem Umfeld sind bereit, ihre Lebensweise zu aendern",skept_lebumg,1,5
Politische Entscheidungen: Experten sollten entscheiden,mas_wissenschaft,1,5
Politische Entscheidungen: Massnahmen obwohl Mehrheit dagegen,mas_gmehrheit,1,5
Politische Entscheidungen: Entscheidungen Folge leisten,mas_compliance,1,5
Politische Entscheidungen: Gesundheit hat Vorrang vor Wirtschaft,mas_geswirt,1,5
Politische Entscheidungen: Vorbereitungen noetig auch wenn hohe Kosten,mas_vorbereitk,1,5
Politische Entscheidungen: Unternehmen staerken anstatt Arbeitnehmer,mas_arbnarbeitg,1,5
Geschaetzte Dauer der Krise,dauer,1,5
Geschaetzte Dauer der Krise: Mehr als 6 Monate,dauer_ext,1,6
Gefahr zweite Welle des Coronavirus,danger_2wave,1,5
Ueberwachung: per Video ueberwachen,komp_video,1,4
Ueberwachung: Informationen sammeln ohne Wissen,komp_infos,1,4
Ueberwachung: per Handyortung aufspueren,komp_handy,1,4
Ueberwachung: behoerdliche Schliessung,komp_schliessen,1,4
Ueberwachung: Ausgangssperren,komp_ausgansp,1,4
Ueberwachung: Nicht-Einhaltung bestrafen,komp_bestrafen,1,4
Ueberwachung: App,komp_appaufenth,1,4
App: Nutzung,app_nutzung_old,1,4
App: Nuetzlichkeit,app_nutzlich,1,5
App: Nuetzlichkeit,app_nutzlich,1,5
App: Benutzerfreundlichkeit,app_freundlich,1,5
App: Benutzerfreundlichkeit,app_freundlich,1,5
App: Datenschutz,app_schutz,1,5
App: Datenschutz,app_schutz,1,5
App: Pflicht,app_pflicht,1,5
App: Pflicht,app_pflicht,1,5
App: Nutzung,app_nutzung_new,1,5
App: Nuetzlichkeit,app_nutzlich,1,5
App: Nuetzlichkeit,app_nutzlich,1,5
App: Benutzerfreundlichkeit,app_freundlich,1,5
App: Benutzerfreundlichkeit,app_freundlich,1,5
App: Datenschutz,app_schutz,1,5
App: Datenschutz,app_schutz,1,5
App: Pflicht,app_pflicht,1,5
App: Pflicht,app_pflicht,1,5
App: Zu komplex,app_komplex,1,5
App: Funktionalitaet verstaendlich,app_verstae,1,5
Aussage: Beitrag zur Finanzierung durch alle Personen gleich,tax_gleich,1,5
Aussage: Kluft zwischen Arm und Reich wird durch Krise groesser,tax_ineq,1,5
Aussage: Neue Steuern schaden Wirtschaftsstandort Oesterreich,tax_hurt,1,5
Aussage: Ausgangsbeschraenkungen treffen arme Menschen staerker als reiche,tax_quarant,1,5
Finanzierung: allgemeine Einkommenssteuer,fstax_eink_g,0,10
Finanzierung: allgemeine Vermoegenssteuer,fstax_verm_g,0,10
Finanzierung: allgemeine Erbschaftssteuer,fstax_erb_g,0,10
Finanzierung: progressive Einkommenssteuer,fstax_eink_h,0,10
Finanzierung: progressive Vermoegenssteuer,fstax_verm_h,0,10
Finanzierung: progressive Erbschaftssteuer,fstax_erb_h,0,10
Finanzierungsmoeglichkeit: Kuerzung Sozialausgaben,gentax_aussoz,NA,NA
Finanzierungsmoeglichkeit: Kuerzung Bildungsausgaben,gentax_ausbil,NA,NA
Finanzierungsmoeglichkeit: Steuererhoehung,gentax_steuer,NA,NA
Finanzierungsmoeglichkeit: neue Staatsschulden,gentax_schuld,NA,NA
Einkommensdezil,subj_eink,1,10
Glueck vs. Leistung,bel_luckef,1,7
Haushaltsgegenstaende: Gute Zeit zu kaufen,kaufen_haus,1,5
Guter/schlechter Zeitpunkt: Geld sparen,zeitp_spar,1,5
Guter/schlechter Zeitpunkt: Geld investieren,zeitp_inve,1,5
Guter/schlechter Zeitpunkt: Liegenschaft erwerben,zeitp_lieg,1,5
Guter/schlechter Zeitpunkt: Geld ausgeben,zeitp_ausg,1,5
Guter/schlechter Zeitpunkt: Kredit aufnehmen,zeitp_kred,1,5
Konsum: Zeitungs- oder Zeitschriftenabonnement,kons_zeit,1,5
Konsum: Bekleidung und Schuhe,kons_bekl,1,5
"Konsum: Heimtextilien, Geschirr und kleinere Haushaltsartikel",kons_text,1,5
"Konsum: Spielwaren, Sportgeraete und Sportausruestung, Buecher",kons_spie,1,5
Konsum: Unterhaltungselektronik,kons_elek,1,5
Konsum: Schmuck und Uhren,kons_schm,1,5
Konsum: Fahrzeuge,kons_fahr,1,5
"Konsum: Gastronomiedienstleistungen (Restaurant, Café)",kons_gast,1,5
"Konsum: Dienstleistungen zur Koerperpflege (z.B. Kosmetik, Friseur)",kons_pfle,1,5
Urlaub: Gute Zeit zu planen,urlaub_planen,1,5
Urlaubsziel: Oesterreich,urlaub_ziel_at,0,1
Urlaubsziel: Italien,urlaub_ziel_it,0,1
Urlaubsziel: Deutschland,urlaub_ziel_de,0,1
Urlaubsziel: Kroatien,urlaub_ziel_cr,0,1
Urlaubsziel: Spanien,urlaub_ziel_es,0,1
Urlaubsziel: Griechenland,urlaub_ziel_gr,0,1
Urlaubsziel: Grossbritannien,urlaub_ziel_gb,0,1
Urlaubsziel: anderes EU-Land,urlaub_ziel_eu,0,1
Urlaubsziel: ausserhalb EU,urlaub_ziel_ex,0,1
Urlaubsziel: weiss nicht,urlaub_ziel_wn,0,0
Urlaubsziel: keine Angabe,urlaub_ziel_ka,0,0
Urlaubsziel Oesterreich: Vorarlberg,urlaub_zielaut_vb,0,1
Urlaubsziel Oesterreich: Tirol,urlaub_zielaut_ti,0,1
Urlaubsziel Oesterreich: Salzburg,urlaub_zielaut_sb,0,1
Urlaubsziel Oesterreich: Steiermark,urlaub_zielaut_st,0,1
Urlaubsziel Oesterreich: Kaernten,urlaub_zielaut_kt,0,1
Urlaubsziel Oesterreich: Oberoesterreich,urlaub_zielaut_oo,0,1
Urlaubsziel Oesterreich: Niederoesterreich,urlaub_zielaut_no,0,1
Urlaubsziel Oesterreich: Wien,urlaub_zielaut_wi,0,1
Urlaubsziel Oesterreich: Burgenland,urlaub_zielaut_bg,0,1
Urlaubsziel Oesterreich: weiss nicht,urlaub_zielaut_wn,0,0
Urlaubsziel Oesterreich: keine Angabe,urlaub_zielaut_ka,0,0
Urlaubsbeginn Monat,urlaub_beginn,1,10
"Urlaubsart: Kultur-, Besichtigungs- und Staedteurlaub",urlaub_art_kult,0,1
"Urlaubsart: Wander-, Rad- und Bergsteig-Urlaub",urlaub_art_wand,0,1
Urlaubsart: Strand- und Badeurlaub,urlaub_art_strand,0,1
Urlaubsart: Verwandten- und Bekannten-Besuch,urlaub_art_verwa,0,1
Urlaubsart: Wellness- und Schoenheitsurlaub,urlaub_art_welln,0,1
Urlaubsart: Skiurlaub,urlaub_art_ski,0,1
Urlaubsart: Weltreise,urlaub_art_welt,0,1
Urlaubsart: Kreuzfahrt,urlaub_art_kreuz,0,1
Urlaubsart: Andere Art von Urlaub,urlaub_art_andere,0,1
Urlaubsart: Weiss nicht,urlaub_art_wn,0,0
Urlaubsart: Keine Angabe,urlaub_art_ka,0,0
EU: Hoehere Mitgliedsbeitraege in Ordnung,EU1_hohebeitr,1,5
EU: Grenzkontrollen dauerhaft noetig,EU1_grenzkontr,1,5
EU: Krisen staerker zentral steuern,EU1_zentralst,1,5
EU: Ausfuhrstopp durch Oesterreich fuer notwendige Gueter,EU1_ausfuhrst_eu,1,5
EU: Ausfuhrstopp durch andere Mitgliedslaender fuer notwendige Gueter,EU1_ausfuhrst_aut,1,5
"EU: Oesterreich profitiert davon, andere EU-Staaten finanziell zu unterstuetzen",EU2_autprof,1,5
EU: Personenfreizuegigkeit foerdert Wirtschaftswachstum in Oesterreich,EU2_personenfr,1,5
EU: Freihandel wichtiger als Schutz heimischer Wirtschaft,EU2_freihandel,1,5
EU-Krisenfinanzierung: hoehere Beitraege durch Mitgliedsstaaten,EU_fin_beitr,1,5
EU-Krisenfinanzierung: gemeinsame Schulden,EU_fin_schuld,1,5
EU-Krisenfinanzierung: gemeinsamer Fond zur Kreditvergabe,EU_fin_fond,1,5
EU-Krisenfinanzierung: freiwillige Vergabe von Hilfsgeldern ohne Rueckzahlung,EU_fin_hilfsg,1,5
EU-Krisenfinanzierung: freiwillige Sachspenden an Mitgliedsstaaten,EU_fin_sachsp,1,5
Tradeoff Preis-Herkunft: Lebensmittel,preisherk_lebens,0,10
Tradeoff Preis-Herkunft: Medikamente/Medizinische Produkte,preisherk_medik,0,10
Tradeoff Preis-Herkunft: Kleidung,preisherk_kleid,0,10
Entscheidungskompetenz: Gesundheitspolitik,eintscheidk_ges,1,3
Entscheidungskompetenz: Handelspolitik,eintscheidk_han,1,3
Entscheidungskompetenz: Asylpolitik,eintscheidk_asy,1,3
Entscheidungskompetenz: Steuerpolitik,eintscheidk_ste,1,3
Entscheidungskompetenz: Arbeitsmarktpolitik,eintscheidk_arb,1,3
Entscheidungskompetenz: Umweltpolitik,eintscheidk_umw,1,3
Entscheidungskompetenz: Landwirtschaftspolitik,eintscheidk_agr,1,3
Referendum EU-Mitgliedschaft,EU_referendum,1,5
EU-Reformen: Erhebung von Steuern durch die EU zur Finanzierung des EU-Budgets,EU_reform_fina,1,5
EU-Reformen: EU-weiter Verteilungsschluessel fuer Fluechtlinge,EU_reform_vert,1,5
EU-Reformen: Mindeststeuern fuer Unternehmensgewinne in der EU,EU_reform_mste,1,5
EU-Reformen: Einheitlicher europaeischer Mindestlohn,EU_reform_mloh,1,5
Corona-Hilfspaket Beispielland A,EU_vert_el_ul_bh,0,10
Corona-Hilfspaket Beispielland B,EU_vert_eh_ul_bh,0,10
Corona-Hilfspaket Beispielland C,EU_vert_el_uh_bh,0,10
Corona-Hilfspaket Beispielland D,EU_vert_eh_uh_bh,0,10
Corona-Hilfspaket Beispielland E,EU_vert_el_ul_bl,0,10
Corona-Hilfspaket Beispielland F,EU_vert_eh_ul_bl,0,10
Corona-Hilfspaket Beispielland G,EU_vert_el_uh_bl,0,10
Corona-Hilfspaket Beispielland H,EU_vert_eh_uh_bl,0,10
Links-Rechts-Selbsteinstufung,lrscale,0,10
Aktuelles Haushaltseinkommen,hh_inc_cur,1,10
Finanzielles Auskommen: Aktuell,fin_ausk_akt,1,5
Finanzielles Auskommen: Februar 2020,fin_ausk_feb,1,5
Finanzielles Auskommen: In 3 Monaten,fin_ausk_mon,1,5
Finanzielles Auskommen: In 12 Monaten,fin_ausk_yea,1,5
Wirtschaftslage: In 3 Monaten,eco_ausk_mon,1,5
Wirtschaftslage: In 12 Monaten,eco_ausk_yea,1,5
Meinung anderer Oesterreicher: Geschaefte sollen geschlossen bleiben,sozialn_mein_and_ges,1,5
Meinung anderer Oesterreicher: Alle muessen zu Hause bleiben,sozialn_mein_and_hau,1,5
Meinung anderer Oesterreicher: Nicht-Einhaltung von Massnahmen bestrafen,sozialn_mein_and_bes,1,5
Meinung anderer Oesterreicher: Alle muessen 1m Abstand halten,sozialn_mein_and_abs,1,5
Meinung anderer Oesterreicher: Verletzungen muessen vermieden werden,sozialn_mein_and_ver,1,5
Meinung anderer Oesterreicher: Schutzmasken im oeffentlichen Raum tragen,sozialn_mein_and_sch,1,5
Verhalten anderer Oesterreicher: Bleiben zu Hause,sozialn_verh_and_hau,1,5
Verhalten anderer Oesterreicher: Halten Abstand,sozialn_verh_and_abs,1,5
Verhalten anderer Oesterreicher: Vermeiden Verletzungen,sozialn_verh_and_ver,1,5
Verhalten anderer Oesterreicher: Tragen Schutzmasken,sozialn_verh_and_sch,1,5
Eigenes Verhalten: Zu Hause bleiben,sozialn_verh_eig_hau,1,5
Eigenes Verhalten: Abstand halten,sozialn_verh_eig_abs,1,5
Eigenes Verhalten: Verletzungen vermeiden,sozialn_verh_eig_ver,1,5
Eigenes Verhalten: Schutzmaske tragen,sozialn_verh_eig_sch,1,5
Massnahme: Einschraenkung von Kontakten ausserhalb des Haushalts,masgelten_kontakt,1,4
Massnahme: Einschraenkung von Kontakten ausserhalb des Haushalts,masgelten_kontakt,1,4
"Massnahme: Schliessung von Gaststaetten, Cafés, Bars und Restaurants",masgelten_gastaet,1,4
"Massnahme: Schliessung von Gaststaetten, Cafés, Bars und Restaurants",masgelten_gastaet,1,4
Massnahme: Verbot von Veranstaltungen mit vielen Teilnehmer*innen,masgelten_veranst,1,4
Massnahme: Verbot von Veranstaltungen mit vielen Teilnehmer*innen,masgelten_veranst,1,4
Massnahme: Schliessung von Schwimmbaedern,masgelten_schwimm,1,4
Massnahme: Schliessung von Spielplaetzen,masgelten_spielpl,1,4
Massnahme: Schliessung von Volks- und hoeheren Schulen,masgelten_schulen,1,4
Massnahme: Schliessung von Kindergaerten und Kindertagesstaetten,masgelten_kinderg,1,4
Massnahme: Besuchsverbot in Pflege- und Seniorenwohnheimen,masgelten_senheim,1,4
Massnahme: Schliessung aller Geschaefte abseits der Grundversorgung,masgelten_geschae,1,4
